ticketId,category,creationDate,device,issueType,priority,severity,status,resolutionDate,customer,resolution_time,creation_day_of_week,creation_month,is_weekend
T4347360,9,2025-01-01 00:10:00,Gateway-CHI-V6500-WH892,267,0,2,Closed,2025-01-01 09:00:00,9905095026,8.833333333333334,2,1,0
T4347363,9,2025-01-01 00:20:00,Modem-NYC-S8500-YE944,0,0,2,Closed,2025-01-01 05:52:28,9905095026,5.541111111111111,2,1,0
T4347366,9,2025-01-01 00:25:00,Gateway-CHI-V6500-WH892,82,0,2,Closed,2025-01-01 09:00:00,9905095026,8.583333333333334,2,1,0
T4347375,9,2025-01-01 00:40:00,Gateway-CHI-V6500-WH892,46,0,2,Closed,2025-01-01 09:00:00,9905095026,8.333333333333334,2,1,0
T4347376,9,2025-01-01 00:40:00,Hub-SEA-M3000-SJ762,31,0,2,Closed,2025-01-01 09:00:00,9902641725,8.333333333333334,2,1,0
T4347377,9,2025-01-01 00:45:00,Modem-NYC-S8500-YE944,0,0,2,Closed,2025-01-01 09:00:00,9905095026,8.25,2,1,0
T4347390,9,2025-01-01 01:10:00,Server-MIA-C5000-GX875,11,0,2,Closed,2025-01-01 09:00:00,9905033957,7.833333333333333,2,1,0
T4347414,9,2025-01-01 02:10:00,Modem-NYC-S8500-YE944,0,0,2,Closed,2025-01-01 09:00:00,9905095026,6.833333333333333,2,1,0
T4347415,9,2025-01-01 02:10:00,Server-MIA-C5000-GX875,11,0,2,Closed,2025-01-01 05:36:58,9905033957,3.4494444444444445,2,1,0
T4347425,9,2025-01-01 02:25:00,Hub-DFW-V6500-VF184,93,0,2,Closed,2025-01-01 07:05:00,9905115778,4.666666666666667,2,1,0
T4347431,9,2025-01-01 02:35:00,Server-CHI-C5000-BY469,8,0,2,Closed,2025-01-01 08:30:35,9905221161,5.926388888888889,2,1,0
T4347439,9,2025-01-01 02:45:00,Hub-SEA-M3000-SJ762,31,0,2,Closed,2025-01-01 07:40:55,9902641725,4.9319444444444445,2,1,0
T4347441,9,2025-01-01 02:50:00,Firewall-BOS-S8500-IP721,8,0,2,Closed,2025-01-01 08:21:57,9907339680,5.5325,2,1,0
T4347449,9,2025-01-01 03:05:00,Gateway-CHI-V6500-WH892,82,0,2,Closed,2025-01-01 09:00:00,9905095026,5.916666666666667,2,1,0
T4347464,9,2025-01-01 03:28:52,Hub-CHI-S8500-IK578,255,0,2,Closed,2025-01-01 12:00:00,9902384877,8.518888888888888,2,1,0
T4347466,9,2025-01-01 03:31:55,Router-PHX-R9000-VP270,92,0,2,Closed,2025-01-01 07:32:27,9907339680,4.0088888888888885,2,1,0
T4347475,9,2025-01-01 03:40:00,Gateway-CHI-V6500-WH892,267,0,2,Closed,2025-01-01 08:31:46,9905095026,4.862777777777778,2,1,0
T4347487,9,2025-01-01 04:05:00,Gateway-CHI-V6500-WH892,46,0,2,Closed,2025-01-01 10:00:00,9905095026,5.916666666666667,2,1,0
T4347489,9,2025-01-01 04:00:00,Hub-SEA-M3000-SJ762,31,0,2,Closed,2025-01-01 08:13:04,9902641725,4.217777777777778,2,1,0
T4347491,9,2025-01-01 04:05:17,Router-PHX-R9000-VP270,92,0,2,Closed,2025-01-01 08:03:37,9907339680,3.9722222222222223,2,1,0
T4347492,9,2025-01-01 04:05:00,Node-CHI-R9000-EP664,8,0,2,Closed,2025-01-01 09:42:08,9907339680,5.618888888888889,2,1,0
T4347493,9,2025-01-01 04:05:00,AccessPoint-DFW-V6500-SR257,8,0,2,Closed,2025-01-01 09:09:23,9907339680,5.073055555555555,2,1,0
T4347496,3,2025-01-01 04:10:00,Node-CHI-R9000-BR539,49,3,2,Closed,2025-01-03 09:00:00,9905125606,52.833333333333336,2,1,0
T4347500,9,2025-01-01 04:15:00,Controller-DFW-M3000-RX892,8,0,2,Closed,2025-01-01 09:00:00,9907339680,4.75,2,1,0
